FlowID,SrcIP,SrcPort,DstIP,DstPort,Protocol,StartTime,Fwd_Header_Len,Bwd_Header_Len,Tot_Fwd_Pkts,Tot_Bwd_Pkts,Tot_Fwd_Bytes,Tot_Bwd_Bytes,Fwd_PktLen_Min,Fwd_PktLen_Mean,Fwd_PktLen_Max,Fwd_PktLen_Std,Bwd_PktLen_Min,Bwd_PktLen_Mean,Bwd_PktLen_Max,Bwd_PktLen_Std,PktLen_Min,PktLen_Mean,PktLen_Max,PktLen_Var,PktLen_Std,Flow_Duration_s,Flow_IAT_Min,Flow_IAT_Mean,Flow_IAT_Max,Flow_IAT_Std,Fwd_IAT_Tot,Fwd_IAT_Min,Fwd_IAT_Mean,Fwd_IAT_Max,Fwd_IAT_Std,Bwd_IAT_Tot,Bwd_IAT_Min,Bwd_IAT_Mean,Bwd_IAT_Max,Bwd_IAT_Std,Active_Min,Active_Mean,Active_Max,Active_Std,Idle_Min,Idle_Mean,Idle_Max,Idle_Std,Fwd_PSH,Bwd_PSH,Fwd_URG,Bwd_URG,FIN_Count,SYN_Count,RST_Count,PSH_Count,ACK_Count,URG_Count,CWR_Count,ECE_Count,DownUp_Ratio,Fwd_Seg_Avg,Bwd_Seg_Avg,Fwd_Bulk_Byts_Avg,Fwd_Bulk_Pkts_Avg,Fwd_Bulk_Rate_Avg,Bwd_Bulk_Byts_Avg,Bwd_Bulk_Pkts_Avg,Bwd_Bulk_Rate_Avg,Init_Fwd_Win_Bytes,Init_Bwd_Win_Bytes,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Flow_Bytes_per_s,Flow_Pkts_per_s,Fwd_Pkts_per_s,Bwd_Pkts_per_s,Subflow_Fwd_Pkts_Avg,Subflow_Fwd_Bytes_Avg,Subflow_Bwd_Pkts_Avg,Subflow_Bwd_Bytes_Avg,TTL_Avg,TTL_Min,TTL_Max,Unique_Src_Ports,Unique_Dst_Ports,Packet_Size_Mode,Packet_Size_Median,First_Payload_Bytes,Label
10.0.1.2-37246-10.0.3.5-0-17-1758471877704,10.0.1.2,37246,10.0.3.5,0,17,1758471877.7041864,102,0,3,0,195,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65,65,65,0,0.0,0.02122211456298828,0.007279872894287109,0.01061105728149414,0.013942241668701172,0.0033311843872070312,0.02122211456298828,0.007279872894287109,0.01061105728149414,0.013942241668701172,0.0033311843872070312,0.0,0.0,0.0,0.0,0.0,0.02122211456298828,0.02122211456298828,0.02122211456298828,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,65,9188.528288320676,141.36197366647193,141.36197366647193,0.0,3,195,0,0,64,64,64,1,1,65,65.0,31,benign
10.0.3.6-48511-10.0.3.5-0-17-1758471877716,10.0.3.6,48511,10.0.3.5,0,17,1758471877.716282,34,0,1,0,65,0,65,65,65,0.0,0.0,0.0,0.0,0.0,65,65,65,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,65,65000000.0,1000000.0,1000000.0,0.0,1,65,0,0,64,64,64,1,1,65,65.0,31,benign
10.0.3.5-0-10.0.3.6-0-1-1758471877728,10.0.3.5,0,10.0.3.6,0,1,1758471877.728264,34,0,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93,93,93,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,93,93000000.0,1000000.0,1000000.0,0.0,1,93,0,0,64,64,64,1,1,93,93.0,59,benign
10.0.3.5-35146-10.0.2.4-5201-6-1758471877735,10.0.3.5,35146,10.0.2.4,5201,6,1758471877.7358046,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.01851630210876465,0.00736689567565918,0.009258151054382324,0.011149406433105469,0.0018912553787231445,0.01851630210876465,0.00736689567565918,0.009258151054382324,0.011149406433105469,0.0018912553787231445,0.0,0.0,0.0,0.0,0.0,0.01851630210876465,0.01851630210876465,0.01851630210876465,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,11989.434969032873,162.0193914734172,162.0193914734172,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
10.0.1.2-36232-10.0.2.3-80-6-1758471877736,10.0.1.2,36232,10.0.2.3,80,6,1758471877.736361,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.015630483627319336,0.0075740814208984375,0.007815241813659668,0.008056402206420898,0.00024116039276123047,0.015630483627319336,0.0075740814208984375,0.007815241813659668,0.008056402206420898,0.00024116039276123047,0.0,0.0,0.0,0.0,0.0,0.015630483627319336,0.015630483627319336,0.015630483627319336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,14203.01542122363,191.93264082734635,191.93264082734635,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
10.0.1.2-0-10.0.2.3-0-1-1758471877736,10.0.1.2,0,10.0.2.3,0,1,1758471877.736847,102,0,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,98,98,98,0,0.0,0.01563429832458496,0.007555246353149414,0.00781714916229248,0.008079051971435547,0.0002619028091430664,0.01563429832458496,0.007555246353149414,0.00781714916229248,0.008079051971435547,0.0002619028091430664,0.0,0.0,0.0,0.0,0.0,0.01563429832458496,0.01563429832458496,0.01563429832458496,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,98,18804.809393823867,191.88581014105986,191.88581014105986,0.0,3,294,0,0,64,64,64,1,1,98,98.0,64,benign
10.0.1.1-48310-10.0.2.4-5201-6-1758471877737,10.0.1.1,48310,10.0.2.4,5201,6,1758471877.7373476,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.015665054321289062,0.007554769515991211,0.007832527160644531,0.008110284805297852,0.0002777576446533203,0.015665054321289062,0.007554769515991211,0.007832527160644531,0.008110284805297852,0.0002777576446533203,0.0,0.0,0.0,0.0,0.0,0.015665054321289062,0.015665054321289062,0.015665054321289062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,14171.671252891758,191.50907098502375,191.50907098502375,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
10.0.1.1-0-10.0.2.4-0-1-1758471877737,10.0.1.1,0,10.0.2.4,0,1,1758471877.7378395,102,0,3,0,294,0,98,98,98,0.0,0.0,0.0,0.0,0.0,98,98,98,0,0.0,0.015955209732055664,0.0071866512298583984,0.007977604866027832,0.008768558502197266,0.0007909536361694336,0.015955209732055664,0.0071866512298583984,0.007977604866027832,0.008768558502197266,0.0007909536361694336,0.0,0.0,0.0,0.0,0.0,0.015955209732055664,0.015955209732055664,0.015955209732055664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,98,18426.583224996637,188.0263594387412,188.0263594387412,0.0,3,294,0,0,64,64,64,1,1,98,98.0,64,benign
10.0.3.5-0-10.0.1.2-0-1-1758471877740,10.0.3.5,0,10.0.1.2,0,1,1758471877.7409337,34,0,1,0,93,0,93,93,93,0.0,0.0,0.0,0.0,0.0,93,93,93,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,93,93000000.0,1000000.0,1000000.0,0.0,1,93,0,0,64,64,64,1,1,93,93.0,59,benign
10.0.1.1-34220-10.0.2.3-80-6-1758471877748,10.0.1.1,34220,10.0.2.3,80,6,1758471877.7480066,222,0,3,0,222,0,74,74,74,0.0,0.0,0.0,0.0,0.0,74,74,74,0,0.0,0.012610912322998047,0.004463911056518555,0.0063054561614990234,0.008147001266479492,0.0018415451049804688,0.012610912322998047,0.004463911056518555,0.0063054561614990234,0.008147001266479492,0.0018415451049804688,0.0,0.0,0.0,0.0,0.0,0.012610912322998047,0.012610912322998047,0.012610912322998047,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,74,17603.801716640828,237.8892123870382,237.8892123870382,0.0,3,222,0,0,64,64,64,1,1,74,74.0,0,benign
